630843; 375618
630844; 66585
630845; 3756
630846; 370623
630847; 489473
630848; 66347
630849; 263060
630850; 59842
630851; 81122
630852; 464273
630853; 16407
630854; 292139
630855; 436811
630856; 139135
630857; 112437
630858; 29457
630859; 18822
630860; 373570
630861; 74441
630862; 320802
630863; 461326
630864; 231610
630865; 63187
630866; 171219
630867; 4333
630868; 42974
630869; 71609
630870; 9963
630871; 245390
630872; 250848
630873; 340633
630874; 74138
630875; 45096
630876; 181925
630877; 257010
630878; 170503
630879; 22034
630880; 172204
630881; 111571
630882; 85291
630883; 40993
630884; 68046
630885; 225297
630886; 169942
630887; 485533
630888; 227669
630889; 47064
630890; 57885
630891; 94126
630892; 18548
630893; 98349
630894; 52488
630895; 5414
630896; 38618
630897; 841
630898; 21821
630899; 14273
630900; 79766
630901; 6146
630902; 34022
630903; 219558
630904; 24282
630905; 7312
630906; 4639
630907; 5611
630908; 95875
630909; 12873
630910; 4051
630911; 103881
630912; 11463
630913; 20343
630914; 49690
630915; 40402
630916; 27868
630917; 18315
630918; 3755
630919; 830
630920; 36372
630921; 41841
630922; 10524
630923; 8362
630924; 28355
630925; 100801
630926; 6969
630927; 87541
630928; 11692
630929; 12369
630930; 11110
630931; 16134
630932; 22743
630933; 67448
630934; 19671
630935; 5753
630936; 76603
630937; 29051
630938; 23677
630939; 6914
630940; 128931
630941; 23838
630942; 33379
630943; 24885
630944; 31344
630945; 56936
630946; 47309
630947; 6833
630948; 5787
630949; 8565
630950; 21720
630951; 38830
630952; 21993
630953; 4916
630954; 63546
630955; 24953
630956; 1474
630957; 15034
630958; 553
630959; 23811
630960; 19515
630961; 14774
630962; 12087
630963; 65104
630964; 59183
630965; 6859
630966; 952
630967; 65405
630968; 12328
630969; 20463
630970; 116692
630971; 46970
630972; 55323
630973; 2690
630974; 3408
630975; 6064
630976; 21920
630977; 28872
630978; 8732
630979; 4663
630980; 20225
630981; 13219
630982; 12299
630983; 134319
630984; 72871
630985; 78362
630986; 37010
630987; 89788
630988; 15953
630989; 218575
630990; 16985
630991; 312026
630992; 124652
630993; 94742
630994; 48264
630995; 305149
630996; 322476
630997; 49348
630998; 42484
630999; 122219
631000; 224736
631001; 499439
631002; 125397
631003; 6796
631004; 244265
631005; 184144
631006; 261309
631007; 166451
631008; 75238
631009; 348105
631010; 125502
631011; 437933
631012; 403836
631013; 131717
631014; 34493
631015; 197569
631016; 122136
631017; 577697
631018; 142894
631019; 47493
631020; 153650
631021; 264326
631022; 69313
631023; 57121
631024; 123536
631025; 210
631026; 26228
631027; 845560
631028; 61742
631029; 235817
631030; 252745
631031; 94153
631032; 317368
631033; 106127
631034; 191994
631035; 514471
631036; 99290
631037; 304608
631038; 272343
631039; 80316
631040; 45537
631041; 45868
631042; 23016
631043; 186387
631044; 22539
631045; 48902
631046; 90974
631047; 94428
631048; 239121
631049; 174696
631050; 411115
631051; 331427
631052; 19628
631053; 909219
631054; 154449
631055; 154274
631056; 43392
631057; 385147
631058; 202711
631059; 20757
631060; 53764
631061; 5719
631062; 159702
631063; 141806
631064; 19806
631065; 39436
631066; 208
631067; 273496
631068; 23179
631069; 29293
631070; 58578
631071; 72758
631072; 8452
631073; 80698
631074; 23845
631075; 71799
631076; 20568
631077; 2364
631078; 37970
631079; 4470
631080; 43610
631081; 34756
631082; 10122
631083; 4741
631084; 2535
631085; 23504
631086; 20418
631087; 2050
631088; 8267
631089; 26936
631090; 38139
631091; 25601
631092; 208340
631093; 5348
631094; 35394
631095; 3318
631096; 28456
631097; 44541
631098; 138046
631099; 8273
631100; 4871
631101; 10875
631102; 63136
631103; 41286
631104; 3633
631105; 2919
631106; 243
631107; 16725
631108; 18577
631109; 27574
631110; 17826
631111; 3511
631112; 17365
631113; 13668
631114; 2421
631115; 45519
631116; 30734
631117; 1040
631118; 2028
631119; 32815
631120; 22589
631121; 2394
631122; 16508
631123; 89395
631124; 3553
631125; 5962
631126; 8682
631127; 8306
631128; 18884
631129; 616
631130; 6818
631131; 6776
631132; 101631
631133; 7196
631134; 52722
631135; 50368
631136; 154125
631137; 162803
631138; 27903
631139; 47662
631140; 298127
631141; 500798
631142; 427792
631143; 31152
631144; 404576
631145; 201363
631146; 191840
631147; 219432
631148; 200950
631149; 135209
631150; 57297
631151; 27924
631152; 1067
631153; 69983
631154; 163734
631155; 73995
631156; 319469
631157; 274302
631158; 316025
631159; 33195
631160; 92944
631161; 15657
631162; 186856
631163; 4343
631164; 39344
631165; 269841
631166; 104395
631167; 463924
631168; 284820
631169; 1294
631170; 43325
631171; 357640
631172; 203443
631173; 741553
631174; 530443
631175; 67039
631176; 26319
631177; 8486
631178; 21711
631179; 37034
631180; 3618
631181; 106856
631182; 1990
631183; 130381
631184; 325733
631185; 44706
631186; 156564
631187; 333305
631188; 35962
631189; 44043
631190; 76058
631191; 15539
631192; 53191
631193; 10940
631194; 625
631195; 8983
631196; 24341
631197; 24830
631198; 74295
631199; 78461
631200; 1153141
631201; 361952
631202; 78613
631203; 3314
631204; 174851
631205; 190770
631206; 129325
631207; 28441
631208; 19574
631209; 18559
631210; 243
631211; 28161
631212; 7635
631213; 18963
631214; 14973
631215; 162494
631216; 4907
631217; 84549
631218; 18171
631219; 137054
631220; 3587
631221; 60849
631222; 42490
631223; 63469
631224; 17452
631225; 15219
631226; 2638
631227; 9806
631228; 53564
631229; 17836
631230; 774
631231; 18839
631232; 243
631233; 86744
631234; 35458
631235; 11817
631236; 33073
631237; 14543
631238; 31205
631239; 45833
631240; 15864
631241; 55171
631242; 13101
631243; 4844
631244; 14544
631245; 5951
631246; 9333
631247; 1835
631248; 35119
631249; 9654
631250; 18960
631251; 28132
631252; 6541
631253; 624
631254; 2852
631255; 84237
631256; 66351
631257; 42854
631258; 84324
631259; 4415
631260; 26734
631261; 93177
631262; 2266
631263; 30781
631264; 17674
631265; 2380
631266; 22962
631267; 59676
631268; 16040
631269; 48949
631270; 34301
631271; 73875
631272; 49623
631273; 1880
